id;name;nif;address;city;zip_code;phone_1;phone_2;email;deleted
1;at;careless worldly impeach;provided;Creminhaven;88938;science guess;beautifully without kindly;Jannie.Kunze@yahoo.com;false
2;boohoo;extroverted member;over;Rocky Mount;55719;beep;quirkily dish equivalent;Wilford_Wuckert90@yahoo.com;true
3;yearningly;ah;colorfully squiggly impractical;Schoenfurt;01787-8227;nephew whose very;sideline on overconfidently;Etha.Gutkowski@gmail.com;true
4;though publicize;drat outline since;lightly unless furthermore;Fort Torreybury;09294;hand-holding;unnaturally uh-huh;Deshawn.Cummings83@hotmail.com;true
5;until;sedately blind;wisdom commandeer to;West Monroehaven;10542-8995;an vocalize lest;about meanwhile where;Laurel.Cassin@gmail.com;false
6;face;crackle;ouch irradiate paranoia;New Annabellehaven;14899-8689;potentially who experience;atop;Alf47@hotmail.com;true
7;outside legal;quickly;serious during ball;Attleboro;19370-1042;astride high-level predict;until broadly lest;Johnson_Hane@gmail.com;true
8;travel upwardly;aha;drat;East Aditya;22218-0910;constitution figure overreact;amid musician;Ruthe_Klein31@yahoo.com;false
9;sampan;barracks difficulty;bite-sized;Todside;77001;far;briskly;Una_Streich-OConner@hotmail.com;false
10;ouch crow;furthermore cull however;inasmuch;Weymouth Town;68170;paltry;kiss gee woot;Edd_Blanda@yahoo.com;false
