id;type;brand;model;serial_number;warranty;password;has_pattern;sim_pin_code;notes;deleted
1;PHONE;gee tambourine disastrous;junket pish toe;graphic ionise per;true;smuggle notwithstanding barring;true;amongst;../fake-data/blob/hipster.txt;true
2;PRINTER;gee seldom;after until;although striking worthless;true;stiff uh-huh repeat;false;pfft woot hasty;../fake-data/blob/hipster.txt;false
3;PRINTER;mist berth quiver;recklessly;aw worth bah;false;honorable sharply;true;tongue;../fake-data/blob/hipster.txt;true
4;PHONE;from finally indeed;misguided undercut;boo grand;true;athwart;false;conservative zowie;../fake-data/blob/hipster.txt;false
5;DESKTOP;overlooked;made-up before molt;till;true;ew buttery optimistically;false;croon eek mmm;../fake-data/blob/hipster.txt;false
6;OTHER;till shrilly;after;ugh thick;false;readdress gosh;true;each pace that;../fake-data/blob/hipster.txt;true
7;PRINTER;off western pointed;whenever weighty bewilder;brook;false;aside wrong fooey;false;familiar;../fake-data/blob/hipster.txt;true
8;PRINTER;enormous er;when er brr;whinny barring an;true;hourly;false;ugh border powerfully;../fake-data/blob/hipster.txt;true
9;LAPTOP;yum;towel loosely;meh once;false;indicate after chest;false;geez pace;../fake-data/blob/hipster.txt;false
10;PRINTER;refuse;when in smooch;now throttle nervously;true;yet vice recreate;true;tan fabulous eek;../fake-data/blob/hipster.txt;false
